value,h,s,v
0,3128,2042,806
1,5,264,1308
2,22,656,1894
3,109,752,898
4,6,849,1475
5,224,920,1349
6,688,1255,781
7,3,1311,952
8,256,1122,640
9,60,1211,765
10,36,1323,599
11,570,1375,692
12,92,1316,759
13,1067,1313,692
14,331,1284,742
15,376,1293,717
16,725,1442,817
17,238,1260,692
18,264,1202,784
19,828,1184,843
20,1064,1265,792
21,1191,1219,945
22,598,1145,963
23,727,1164,1034
24,980,1121,949
25,855,1097,1008
26,1141,1218,1023
27,79,1044,1194
28,227,1072,1179
29,179,1018,1207
30,2939,1059,1307
31,9,990,1464
32,741,934,1496
33,255,995,1467
34,946,954,1589
35,1945,900,1659
36,779,1069,1713
37,244,748,1832
38,692,948,1872
39,308,917,1929
40,517,910,1985
41,49,958,2053
42,730,919,2013
43,947,954,2036
44,51,982,2019
45,387,982,2105
46,210,994,2070
47,4,949,2125
48,506,1076,2128
49,49,1087,1971
50,748,1126,1965
51,487,1141,1930
52,255,1137,2033
53,46,1202,2130
54,125,1224,2113
55,503,1343,2118
56,354,1259,2220
57,137,1323,2238
58,38,1385,2283
59,5,1343,2382
60,1520,1358,2401
61,1,1488,2476
62,68,1418,2568
63,220,1470,2681
64,3,1530,2784
65,116,1604,2858
66,799,1645,3145
67,92,1776,3172
68,151,1835,3462
69,149,1829,3675
70,423,2046,3707
71,66,2021,3879
72,76,2325,3888
73,285,2473,3978
74,355,2527,3956
75,898,2645,3997
76,137,2919,3987
77,108,3160,3941
78,13,3488,3978
79,303,3469,3996
80,1167,3724,4019
81,78,4134,3902
82,86,4063,4179
83,644,4427,4268
84,439,4278,4357
85,329,5156,4438
86,192,4531,4755
87,1118,4906,4891
88,301,5070,5088
89,344,4915,5341
90,2036,5215,5646
91,835,4754,5700
92,998,4637,5977
93,1202,4623,6201
94,2166,4431,6379
95,3788,4313,6380
96,4597,4136,6538
97,3448,3785,6750
98,10646,3836,7011
99,13340,3569,6823
100,23248,3721,6926
101,40299,3496,6994
102,47216,3415,7222
103,86157,3357,7136
104,65914,3444,7266
105,106014,3156,7510
106,97266,3293,7532
107,82988,3264,7506
108,53899,3235,7314
109,29980,3228,7320
110,14761,3284,7309
111,7548,3365,7484
112,6537,3289,7357
113,3342,3473,7230
114,4100,3423,7105
115,2370,3345,7162
116,3302,3368,6938
117,1556,3730,7017
118,1379,3925,6744
119,1138,3831,6785
120,6398,4001,6756
121,225,4035,6523
122,675,4169,6404
123,445,4320,6272
124,564,4509,5912
125,1111,4882,5551
126,739,5140,5344
127,81,4164,5067
128,363,4527,5029
129,100,5470,4714
130,239,5830,4405
131,21,5777,4251
132,426,5664,4078
133,373,6399,3893
134,12,6206,3747
135,304,6707,3776
136,41,6790,3782
137,3,6889,3760
138,173,7601,3572
139,13,7312,3760
140,556,7633,3673
141,217,8379,3751
142,57,7551,3800
143,54,8856,3906
144,37,8047,3805
145,225,9045,3883
146,105,8687,3849
147,32,8222,4050
148,3,9264,4263
149,1,9077,4315
150,347,8689,4293
151,1,8762,4454
152,9,8660,4519
153,40,8408,4485
154,1,8827,4833
155,25,8481,4835
156,368,8182,4932
157,17,7736,4987
158,54,8330,4971
159,17,8012,5119
160,212,7697,4940
161,3,7264,4969
162,12,7511,4733
163,84,6599,4562
164,74,6739,4391
165,790,6713,4099
166,18,6043,3947
167,5,6051,3661
168,0,5866,3424
169,60,6013,3335
170,357,4648,3244
171,4,5395,3176
172,2,4790,2951
173,416,4639,2848
174,29,4733,2766
175,40,4038,2706
176,6,3747,2633
177,222,4513,2541
178,13,3148,2486
179,4,3796,2447
180,0,3279,2353
181,0,3117,2263
182,0,3199,2283
183,0,2973,2198
184,0,2593,2162
185,0,2940,2142
186,0,2153,2129
187,0,2255,1955
188,0,2462,1970
189,0,1975,2100
190,0,2299,1955
191,0,2218,2082
192,0,1465,2023
193,0,1736,1967
194,0,1833,2017
195,0,1706,2051
196,0,1667,1934
197,0,1411,2035
198,0,1845,2051
199,0,1350,2063
200,0,1468,2137
201,0,1426,2118
202,0,1307,2193
203,0,1643,2269
204,0,1302,2208
205,0,1353,2306
206,0,1298,2295
207,0,1258,2215
208,0,1068,2114
209,0,1396,2045
210,0,1129,1973
211,0,1142,1948
212,0,1036,1783
213,0,1419,1789
214,0,1052,1621
215,0,1165,1580
216,0,922,1644
217,0,1044,1561
218,0,846,1583
219,0,1418,1512
220,0,928,1513
221,0,1098,1564
222,0,925,1527
223,0,940,1467
224,0,998,1505
225,0,986,1464
226,0,773,1428
227,0,1092,1380
228,0,873,1384
229,0,681,1307
230,0,1096,1276
231,0,978,1197
232,0,758,1162
233,0,1006,1110
234,0,852,999
235,0,874,1068
236,0,803,960
237,0,907,947
238,0,752,918
239,0,836,886
240,0,886,868
241,0,613,842
242,0,888,838
243,0,872,857
244,0,748,761
245,0,635,731
246,0,616,716
247,0,826,673
248,0,873,645
249,0,842,600
250,0,704,582
251,0,457,511
252,0,43,552
253,0,2,502
254,0,0,520
255,0,28221,3611
