value,h,s,v
0,3337,2277,2277
1,6,229,229
2,22,552,552
3,96,707,707
4,5,853,853
5,194,922,922
6,616,1282,1282
7,3,1375,1375
8,266,1346,1346
9,54,1255,1255
10,37,1448,1448
11,527,1466,1466
12,96,1444,1444
13,1051,1386,1386
14,327,1385,1385
15,389,1281,1281
16,796,1449,1449
17,274,1276,1276
18,289,1234,1234
19,931,1199,1199
20,1007,1279,1279
21,1375,1206,1206
22,560,1135,1135
23,742,1194,1194
24,981,1115,1115
25,883,1119,1119
26,1183,1196,1196
27,86,1071,1071
28,211,1043,1043
29,186,1026,1026
30,2922,1060,1060
31,17,973,973
32,720,929,929
33,217,951,951
34,1021,949,949
35,2053,899,899
36,746,1042,1042
37,217,763,763
38,692,930,930
39,305,893,893
40,574,873,873
41,40,940,940
42,720,902,902
43,951,928,928
44,38,945,945
45,337,961,961
46,187,961,961
47,3,926,926
48,496,1053,1053
49,39,1053,1053
50,698,1094,1094
51,483,1104,1104
52,230,1119,1119
53,40,1180,1180
54,114,1194,1194
55,529,1299,1299
56,347,1274,1274
57,130,1304,1304
58,43,1359,1359
59,3,1344,1344
60,1509,1361,1361
61,1,1493,1493
62,63,1427,1427
63,204,1512,1512
64,3,1564,1564
65,104,1634,1634
66,785,1695,1695
67,91,1820,1820
68,145,1907,1907
69,142,1966,1966
70,414,2168,2168
71,72,2184,2184
72,59,2544,2544
73,280,2731,2731
74,347,2775,2775
75,860,2943,2943
76,138,3244,3244
77,90,3488,3488
78,13,3829,3829
79,287,3882,3882
80,1147,4163,4163
81,62,4562,4562
82,68,4544,4544
83,658,4981,4981
84,406,4757,4757
85,296,5593,5593
86,172,4949,4949
87,1036,5370,5370
88,264,5477,5477
89,315,5347,5347
90,1912,5681,5681
91,750,5163,5163
92,917,5038,5038
93,1109,4975,4975
94,1979,4822,4822
95,3588,4729,4729
96,4448,4493,4493
97,3415,4162,4162
98,10582,4200,4200
99,13592,3900,3900
100,24098,4034,4034
101,41934,3853,3853
102,50046,3713,3713
103,92303,3704,3704
104,70928,3795,3795
105,114212,3478,3478
106,106005,3637,3637
107,90408,3585,3585
108,58762,3516,3516
109,32685,3492,3492
110,15859,3578,3578
111,7993,3645,3645
112,6957,3525,3525
113,3456,3735,3735
114,4259,3686,3686
115,2400,3594,3594
116,3376,3669,3669
117,1627,4017,4017
118,1441,4166,4166
119,1216,4107,4107
120,6498,4223,4223
121,243,4273,4273
122,668,4443,4443
123,451,4581,4581
124,534,4801,4801
125,1004,5156,5156
126,671,5432,5432
127,69,4374,4374
128,363,4743,4743
129,92,5797,5797
130,234,6144,6144
131,14,6138,6138
132,392,5998,5998
133,330,6774,6774
134,9,6596,6596
135,298,7094,7094
136,29,7192,7192
137,6,7342,7342
138,149,8064,8064
139,8,7794,7794
140,509,8104,8104
141,168,8936,8936
142,50,8062,8062
143,53,9493,9493
144,31,8625,8625
145,180,9756,9756
146,82,9367,9367
147,23,8894,8894
148,4,10003,10003
149,1,9817,9817
150,311,9411,9411
151,1,9439,9439
152,11,9312,9312
153,39,9059,9059
154,1,9564,9564
155,19,9134,9134
156,321,8792,8792
157,10,8259,8259
158,39,8890,8890
159,14,8596,8596
160,177,8243,8243
161,3,7751,7751
162,7,8034,8034
163,68,7095,7095
164,53,7204,7204
165,667,7176,7176
166,18,6467,6467
167,7,6510,6510
168,1,6285,6285
169,44,6445,6445
170,291,4924,4924
171,2,5799,5799
172,2,5176,5176
173,355,4948,4948
174,32,5024,5024
175,30,4302,4302
176,2,4010,4010
177,201,4769,4769
178,14,3384,3384
179,4,4005,4005
180,0,3489,3489
181,0,3328,3328
182,0,3381,3381
183,0,3161,3161
184,0,2716,2716
185,0,3104,3104
186,0,2277,2277
187,0,2402,2402
188,0,2596,2596
189,0,2099,2099
190,0,2409,2409
191,0,2329,2329
192,0,1555,1555
193,0,1824,1824
194,0,1937,1937
195,0,1779,1779
196,0,1754,1754
197,0,1466,1466
198,0,1934,1934
199,0,1407,1407
200,0,1520,1520
201,0,1493,1493
202,0,1347,1347
203,0,1698,1698
204,0,1316,1316
205,0,1408,1408
206,0,1349,1349
207,0,1307,1307
208,0,1092,1092
209,0,1438,1438
210,0,1176,1176
211,0,1156,1156
212,0,1060,1060
213,0,1414,1414
214,0,1080,1080
215,0,1183,1183
216,0,944,944
217,0,1066,1066
218,0,869,869
219,0,1447,1447
220,0,969,969
221,0,1106,1106
222,0,939,939
223,0,958,958
224,0,1027,1027
225,0,1009,1009
226,0,794,794
227,0,1112,1112
228,0,883,883
229,0,717,717
230,0,1114,1114
231,0,1005,1005
232,0,761,761
233,0,1016,1016
234,0,872,872
235,0,889,889
236,0,830,830
237,0,942,942
238,0,771,771
239,0,873,873
240,0,917,917
241,0,636,636
242,0,917,917
243,0,883,883
244,0,766,766
245,0,647,647
246,0,642,642
247,0,857,857
248,0,898,898
249,0,843,843
250,0,731,731
251,0,493,493
252,0,46,46
253,0,2,2
254,0,0,0
255,0,28885,28885
