value,h,s,v
0,925,452,88
1,53,172,189
2,59,373,257
3,74,570,144
4,61,389,161
5,155,382,118
6,220,531,93
7,46,618,85
8,149,539,65
9,80,605,74
10,85,463,53
11,238,501,50
12,106,470,62
13,348,418,64
14,171,482,72
15,251,515,62
16,291,501,47
17,206,478,22
18,146,611,44
19,303,566,60
20,369,597,43
21,306,711,47
22,241,673,39
23,139,671,50
24,351,703,42
25,135,714,37
26,269,708,49
27,47,688,31
28,80,644,47
29,72,660,43
30,508,639,50
31,5,617,46
32,78,615,35
33,38,549,42
34,110,525,39
35,235,499,50
36,167,496,43
37,25,406,47
38,72,434,35
39,31,408,45
40,54,466,50
41,4,371,35
42,88,397,39
43,66,389,56
44,2,395,61
45,53,363,58
46,8,340,51
47,1,322,59
48,45,342,57
49,2,326,64
50,172,323,58
51,39,320,70
52,11,308,54
53,5,296,64
54,7,276,53
55,52,279,60
56,19,271,57
57,11,269,67
58,0,231,51
59,0,267,64
60,179,279,49
61,0,288,57
62,0,265,63
63,7,258,67
64,0,269,83
65,4,230,77
66,104,251,80
67,0,280,57
68,10,239,83
69,3,219,70
70,60,237,73
71,1,270,102
72,1,241,107
73,27,241,101
74,17,242,91
75,209,244,110
76,2,233,132
77,0,235,100
78,2,285,121
79,17,200,121
80,93,213,157
81,0,251,155
82,0,228,184
83,146,250,225
84,6,235,261
85,7,216,277
86,1,272,333
87,60,239,372
88,3,231,452
89,2,254,499
90,210,249,590
91,2,253,729
92,7,274,829
93,43,234,1012
94,3,277,1100
95,92,303,1246
96,218,264,1340
97,4,302,1549
98,133,321,1619
99,39,315,1810
100,38,349,1998
101,315,308,2175
102,127,328,2435
103,550,364,2750
104,314,321,2891
105,540,320,3160
106,721,381,3410
107,825,372,3684
108,946,354,3883
109,2177,313,4158
110,4144,396,4479
111,10143,355,4511
112,35167,373,4801
113,74588,364,5175
114,120229,393,5485
115,105592,358,5702
116,60303,357,6179
117,34893,364,6471
118,18342,347,6751
119,10100,380,7252
120,6941,401,7611
121,980,338,7976
122,1082,392,8276
123,714,397,8606
124,697,350,8649
125,1186,362,9021
126,410,367,9024
127,283,447,8966
128,337,468,9064
129,183,385,8902
130,233,374,9057
131,93,404,9056
132,285,453,8747
133,329,430,8473
134,63,469,8390
135,155,456,8306
136,92,451,8141
137,28,459,8318
138,137,506,8193
139,33,502,8162
140,229,554,8335
141,107,592,8458
142,55,500,8245
143,27,594,8224
144,30,605,8083
145,130,737,8062
146,58,608,7913
147,26,689,7795
148,22,687,7592
149,15,733,7415
150,236,705,7292
151,20,763,7074
152,22,720,6853
153,41,859,6672
154,19,780,6725
155,20,850,6483
156,172,817,6243
157,15,827,6062
158,42,878,5817
159,26,810,5696
160,87,892,5167
161,23,894,4734
162,15,891,4389
163,57,847,4136
164,53,925,3764
165,230,1007,3316
166,26,1018,3071
167,25,1035,2925
168,24,1044,2746
169,28,1325,2468
170,160,784,2322
171,15,1430,2179
172,28,1234,2132
173,123,1438,1947
174,69,1416,1835
175,52,1402,1733
176,30,1598,1641
177,107,1782,1567
178,58,1653,1513
179,76,1763,1413
180,0,2101,1308
181,0,2102,1283
182,0,2257,1206
183,0,2241,1094
184,0,2361,1108
185,0,2726,1001
186,0,2490,930
187,0,2760,920
188,0,3000,848
189,0,2950,844
190,0,3130,834
191,0,2873,817
192,0,3193,776
193,0,3150,780
194,0,3388,703
195,0,3544,719
196,0,3472,683
197,0,3383,662
198,0,3687,615
199,0,4013,650
200,0,3883,665
201,0,3559,672
202,0,4177,577
203,0,3984,605
204,0,4764,561
205,0,4051,489
206,0,4270,450
207,0,4584,426
208,0,5010,400
209,0,4370,365
210,0,4530,337
211,0,4630,273
212,0,4829,271
213,0,4984,240
214,0,5115,202
215,0,5012,186
216,0,5013,160
217,0,5166,140
218,0,5091,133
219,0,5532,111
220,0,5342,138
221,0,5527,103
222,0,5349,84
223,0,5462,72
224,0,5876,74
225,0,5589,67
226,0,5868,61
227,0,5281,62
228,0,5809,59
229,0,5591,59
230,0,5859,50
231,0,5661,62
232,0,5636,39
233,0,5849,48
234,0,5703,55
235,0,5340,41
236,0,6122,51
237,0,5655,53
238,0,5806,38
239,0,5681,39
240,0,5740,44
241,0,5927,51
242,0,5552,37
243,0,6420,34
244,0,5538,40
245,0,6703,34
246,0,5858,34
247,0,6584,43
248,0,7179,40
249,0,7129,32
250,0,6769,36
251,0,9688,45
252,0,3291,57
253,0,14097,52
254,0,8,85
255,0,53120,940
